citrus fruit,coffee
curd,soda
other vegetables,yogurt
specialty chocolate,frozen vegetables
hamburger meat,candles
tropical fruit,other vegetables
sausage,bottled water
bottled water,Instant food products
cleaner,shopping bags
sliced cheese,bottled water
hamburger meat,bottled beer,domestic eggs
yogurt,frozen vegetables
hamburger meat,frozen potato products
whole milk,flower (seeds)
berries,whipped/sour cream,bottled water
onions,whipped/sour cream,dishes
waffles,whole milk
other vegetables,yogurt,Instant food products
yogurt,shopping bags,waffles,chocolate
soda,brown bread
butter,frozen vegetables
canned beer,margarine,chocolate
sausage,sausage,bottled beer,spread cheese
tropical fruit,turkey,salty snack
beef,pastry,curd
pork,pickled vegetables
butter,pastry
frozen meals,other vegetables
tropical fruit,meat,pip fruit,salt,pot plants
whole milk,white bread,canned beer,brown bread,fruit/vegetable juice
citrus fruit,tropical fruit,soda,bottled water
citrus fruit,whole milk
frankfurter,whipped/sour cream,citrus fruit,whole milk,dishes
dessert,soda
butter,tropical fruit
ham,brown bread
canned beer,hamburger meat
root vegetables,bottled beer
chicken,butter
other vegetables,whole milk,soda
frozen vegetables,specialty bar
frozen vegetables,tropical fruit
frankfurter,sparkling wine
fruit/vegetable juice,napkins
beef,fruit/vegetable juice
waffles,brown bread
pastry,canned beer
other vegetables,white bread
citrus fruit,pickled vegetables
meat,curd
ice cream,yogurt
butter,candy
soda,dishes
waffles,yogurt
root vegetables,soft cheese
frozen dessert,misc. beverages
brown bread,butter milk,oil,frozen meals
soda,shopping bags
brown bread,yogurt
pip fruit,frozen fish
beef,condensed milk
frozen vegetables,dessert
soda,other vegetables
sugar,cream cheese 
rolls/buns,whipped/sour cream,bottled beer
hard cheese,bottled water
other vegetables,sliced cheese
bottled water,yogurt
whole milk,tropical fruit
pip fruit,tropical fruit
pork,yogurt,yogurt,canned fish
frozen meals,beef
sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil
tropical fruit,sausage,beef,yogurt,long life bakery product,yogurt,cream cheese ,processed cheese
whole milk,other vegetables,white bread
whole milk,liver loaf
canned beer,root vegetables,whole milk,whole milk,newspapers
canned beer,other vegetables
canned beer,whole milk,pork,oil
ham,other vegetables
soda,UHT-milk
canned beer,pip fruit,sugar
soda,yogurt
domestic eggs,whole milk,artif. sweetener
other vegetables,frozen vegetables
whole milk,other vegetables
soda,whipped/sour cream
pastry,liqueur
preservation products,soups
other vegetables,brown bread
sausage,white bread
curd,whipped/sour cream
other vegetables,salty snack,soda
berries,pastry
sugar,processed cheese
pickled vegetables,bottled water
root vegetables,soda,waffles
sausage,margarine,margarine
spices,cat food,seasonal products
root vegetables,other vegetables
bottled beer,hard cheese
yogurt,shopping bags
meat,domestic eggs
soda,bottled water,whipped/sour cream
canned beer,shopping bags
soda,margarine,specialty chocolate
whole milk,canned beer
fruit/vegetable juice,spices
butter milk,newspapers
mustard,brown bread
frankfurter,margarine
whole milk,light bulbs
root vegetables,soda
beverages,chocolate marshmallow
frankfurter,bottled beer
citrus fruit,pastry
newspapers,whole milk,chewing gum
tropical fruit,soda
coffee,frozen vegetables
beef,whole milk
coffee,frankfurter,frankfurter,bottled beer,butter,margarine,sugar,brown bread,soda
brown bread,shopping bags
whole milk,beverages,frozen fruits,fruit/vegetable juice
sausage,shopping bags,light bulbs
bottled water,tropical fruit,domestic eggs
whipped/sour cream,pickled vegetables,dish cleaner
tropical fruit,soft cheese
citrus fruit,other vegetables
whole milk,whipped/sour cream
sausage,frozen meals,long life bakery product,soda
condensed milk,rolls/buns,organic products
sausage,bottled beer
whole milk,tropical fruit
beverages,other vegetables,curd
berries,napkins
coffee,hamburger meat,brown bread,detergent
beef,whole milk,chewing gum
frankfurter,pip fruit
beef,house keeping products
bottled beer,fruit/vegetable juice
brown bread,hair spray
frankfurter,prosecco
frankfurter,whole milk
salty snack,salty snack,canned fish
seasonal products,white bread
rolls/buns,flour
whole milk,soda
root vegetables,soda
sausage,rolls/buns
brown bread,male cosmetics
whole milk,domestic eggs,rolls/buns,long life bakery product
bottled beer,berries
male cosmetics,oil
