,Antecedent,Consequent,Confidence,Support Count
0,['Coffee Powder'],['Butter'],0.4727272727272727,26
1,['Coffee Powder'],['Tea Powder'],0.4727272727272727,26
2,['Coffee Powder'],['Bread'],0.509090909090909,28
3,['Coffee Powder'],['Panner'],0.38181818181818183,21
4,['Coffee Powder'],['Milk'],0.4,22
5,['Coffee Powder'],"['Tea Powder', 'Panner']",0.23636363636363636,13
6,['Coffee Powder'],"['Tea Powder', 'Butter']",0.21818181818181817,12
7,['Coffee Powder'],"['Bread', 'Tea Powder']",0.3090909090909091,17
8,['Coffee Powder'],"['Bread', 'Milk']",0.18181818181818182,10
9,['Coffee Powder'],"['Bread', 'Butter']",0.2,11
10,['Coffee Powder'],"['Panner', 'Butter']",0.2,11
11,['Coffee Powder'],"['Milk', 'Tea Powder']",0.2,11
12,['Coffee Powder'],"['Milk', 'Panner']",0.14545454545454545,8
13,['Coffee Powder'],"['Milk', 'Butter']",0.12727272727272726,7
14,['Coffee Powder'],"['Tea Powder', 'Panner', 'Butter']",0.12727272727272726,7
15,['Coffee Powder'],"['Bread', 'Tea Powder', 'Panner']",0.14545454545454545,8
16,['Coffee Powder'],"['Bread', 'Tea Powder', 'Butter']",0.16363636363636364,9
17,['Coffee Powder'],"['Bread', 'Milk', 'Tea Powder']",0.10909090909090909,6
18,['Coffee Powder'],"['Milk', 'Tea Powder', 'Panner']",0.09090909090909091,5
19,['Coffee Powder'],"['Milk', 'Tea Powder', 'Butter']",0.07272727272727272,4
20,['Coffee Powder'],"['Milk', 'Panner', 'Butter']",0.05454545454545454,3
21,['Coffee Powder'],"['Bread', 'Tea Powder', 'Panner', 'Butter']",0.09090909090909091,5
22,['Butter'],['Coffee Powder'],0.4727272727272727,26
23,['Butter'],['Tea Powder'],0.4727272727272727,26
24,['Butter'],['Panner'],0.509090909090909,28
25,['Butter'],['Milk'],0.41818181818181815,23
26,['Butter'],['Bread'],0.38181818181818183,21
27,['Butter'],"['Tea Powder', 'Panner']",0.2545454545454545,14
